Request ID,SMT,Service Requested,Date,Time
1,False,Std,20190102,0038
2,False,Exp,20190102,0127
3,True,Std,20190102,0129
4,True,Exp,20190102,0113
5,True,Std,20190102,0260
6,False,Std,20190102,0356
7,False,Std,20190102,0437
8,False,Std,20190102,0532
9,False,Std,20190102,0546
10,False,Std,20190102,0656
11,True,Exp,20190102,0637
12,False,Exp,20190102,0637
13,False,Std,20190102,0730
14,True,Std,20190102,0830
15,False,Exp,20190103,0027
16,False,Exp,20190103,0008
17,False,Std,20190103,0145
18,False,Std,20190103,0133
19,False,Std,20190103,0223
20,False,Std,20190103,0323
21,False,Std,20190103,0333
22,False,Std,20190103,0342
23,False,Std,20190103,0307
24,False,Std,20190103,0329
25,True,Exp,20190103,0437
26,True,Std,20190103,0409
27,False,Exp,20190103,0446
28,False,Std,20190103,0626
29,True,Std,20190103,0645
30,True,Std,20190103,0733
31,False,Std,20190103,0825
32,False,Std,20190104,0025
33,True,Exp,20190104,0204
34,False,Std,20190104,0344
35,False,Std,20190104,0309
36,False,Exp,20190104,0440
37,True,Exp,20190104,0448
38,False,Std,20190104,0549
39,False,Exp,20190104,0512
40,False,Std,20190104,0558
41,False,Std,20190104,0559
42,False,Std,20190104,0657
43,True,Exp,20190104,0619
44,True,Exp,20190104,0829
45,False,Std,20190104,0812
46,False,Std,20190105,0152
47,False,Exp,20190105,0127
48,True,Spd,20190105,0255
49,False,Std,20190105,0230
50,False,Std,20190105,0256
51,False,Std,20190105,0356
52,True,Std,20190105,0346
53,True,Exp,20190105,0312
54,False,Std,20190105,0344
55,True,Exp,20190105,0414
56,False,Std,20190105,0500
57,False,Std,20190105,0824
58,True,Exp,20190105,0856
59,False,Std,20190106,0060
60,True,Exp,20190106,0019
61,False,Std,20190106,0157
62,False,Std,20190106,0241
63,False,Std,20190106,0352
64,False,Std,20190106,04010
65,False,Std,20190106,0432
66,False,Std,20190106,0442
67,False,Std,20190106,0525
68,False,Std,20190106,0638
69,True,Std,20190106,0644
70,False,Std,20190106,0659
71,True,Exp,20190106,0733
72,False,Std,20190106,0706
73,False,Std,20190106,0746
74,False,Std,20190106,0731
75,True,Std,20190106,0805
